1.9900963556249167e-9	1.8461721249909354e-13
3.960483504671572e-9	2.2189823414589572e-13
5.884413361937636e-9	3.2056577975566506e-13
7.881743789159515e-9	1.0276241915035794e-12
9.88285202429648e-9	3.2942115024513223e-12
1.1933438767305186e-8	9.341448012426575e-12
1.3746055600108406e-8	1.8336380373335803e-11
1.5983973440056153e-8	3.826839400052866e-11
1.7814254647649023e-8	5.528452089758728e-11
1.9854116364833552e-8	9.028618484863664e-11
2.1919937120208084e-8	1.52038180195637e-10
2.408690291297694e-8	2.639961741773455e-10
2.597372802404611e-8	3.5870194189502386e-10
2.814068715383953e-8	5.681171109004648e-10
3.006033794762038e-8	7.719229702430824e-10
3.1959938618010964e-8	1.0814928900328587e-9
3.381979193537831e-8	1.4251026703029912e-9
3.57878761978507e-8	1.9363428156881814e-9
3.7515155883254586e-8	2.551553822212746e-9
4.0645003453521645e-8	3.260720767254487e-9
4.3010269088445105e-8	4.430469020380171e-9
4.4453068015101045e-8	5.325144057547128e-9
4.6598567818215004e-8	7.017038286703805e-9
4.770984258320776e-8	7.932467181990949e-9
4.8617913348558896e-8	9.246477801343777e-9
5.024882323780665e-8	1.1459656438316842e-8
5.169022148264708e-8	1.3357944815515468e-8
5.4441026458527786e-8	1.605540635272981e-8
5.600267894963712e-8	1.8149962816632212e-8
5.76091277765546e-8	1.9898327204453394e-8
5.8982980513425705e-8	2.3194478660758133e-8
6.067491992830798e-8	2.5428775275811702e-8
